date,code,name,open,high,low,close,volume,value
2026-03-05,AMZN,AMZN,215.98,220.47,215.59,218.94,60943447,13342958286.18
2026-03-05,AVGO,AVGO,330.175,336.12,323.03,332.77,57076634,18993391496.18
2026-03-05,GOOGL,GOOGL,303.035,303.3,297.99,300.88,35752321,10757158342.48
2026-03-05,META,META,661.93,670.7,650.31,660.57,13341367,8812906799.19
2026-03-05,MSFT,MSFT,404.42,411.61,404.4,410.68,39001315,16017060044.2
2026-03-05,MU,MU,398.6,404.53,380.3,397.05,29960060,11895641823.0
2026-03-05,NVDA,NVDA,181.17,184.06,177.88,183.34,198779729,36444275514.86
2026-03-05,PLTR,PLTR,152.94,156.38,149.61,152.67,50714514,7742584852.379999
2026-03-05,TSLA,TSLA,401.57,408.62,399.42,405.55,51925898,21058547933.9
2026-03-06,AMD,AMD,195.27,200.24,191.25,192.43,33913779,6526028492.97
2026-03-06,AMZN,AMZN,214.99,217.32,212.53,213.21,51152716,10906270578.36
2026-03-06,AVGO,AVGO,328.28,343.51,327.404,330.48,39152159,12939005506.320002
2026-03-06,GOOGL,GOOGL,296.09,300.53,295.18,298.52,25576916,7635220964.32
2026-03-06,META,META,647.9,649.47,636.11,644.86,13159356,8485942310.16
2026-03-06,MSFT,MSFT,409.2,413.05,408.51,408.96,31123859,12728413376.64
2026-03-06,MU,MU,380.14,391.18,367.45,370.3,34458784,12760087715.2
2026-03-06,NVDA,NVDA,179.84,182.756,176.82,177.82,189021949,33611882971.18
2026-03-06,PLTR,PLTR,150.44,161.45,150.29,157.16,74980855,11783991171.8
2026-03-06,TSLA,TSLA,398.09,402.35,394.21,396.73,64054561,25412365985.530003
2026-03-09,AMD,AMD,189.36,202.97,189.02,202.68,38877220,7879634949.6
2026-03-09,AMZN,AMZN,210.45,213.82,207.11,213.49,54642926,11665718271.74
2026-03-09,AVGO,AVGO,327.25,348.49,323.61,345.75,40605821,14039462610.75
2026-03-09,GOOGL,GOOGL,294.36,306.8,294.08,306.36,29312149,8980069967.640001
2026-03-09,META,META,634.78,647.75,626.78,647.39,13489742,8733124073.38
2026-03-09,MSFT,MSFT,404.915,410.21,403.5,409.41,30131854,12336282346.140001
2026-03-09,MU,MU,363.96,390,357.67,389.32,35547220,13839243690.4
2026-03-09,NVDA,NVDA,176.83,182.91,175.56,182.65,177213588,32368061848.2
2026-03-09,PLTR,PLTR,155.69,158.44,152.97,156.43,47574200,7442032106.0
2026-03-09,TSLA,TSLA,390.05,401.59,381.4,398.68,67018911,26719099437.48
2026-03-10,AMD,AMD,202.51,206.59,202.2,203.23,29139162,5921951893.259999
2026-03-10,AMZN,AMZN,214.19,215.65,212.43,214.33,35678834,7647044491.22
2026-03-10,AVGO,AVGO,348.73,353.14,340.8,342.58,29531698,10116969100.84
2026-03-10,GOOGL,GOOGL,306.17,309.51,305.57,307.04,23239684,7135512575.360001
2026-03-10,META,META,653.56,660.3,649,654.07,9859250,6448639647.500001
2026-03-10,MSFT,MSFT,410.03,410.2,402.93,405.76,31706375,12865178720.0
2026-03-10,MU,MU,394.01,415.31,393.64,403.11,33745433,13603121496.630001
